alphabet_size,batch_size,hidden_dim,network_type,num_layers,num_trials,seq_length,use_gpu,mean_time,time_sd
80,5,32,lstm,2,50,1,True,0.0008030241262167692,2.558574587099735e-05
80,5,32,lstm,2,50,1,False,0.0005309200193732977,6.491763478888952e-06
80,10,32,lstm,1,50,1,True,0.0007488328404724598,2.810339555012219e-05
80,10,32,lstm,1,50,1,False,0.0004141665063798428,6.571766464573696e-06
80,10,32,lstm,2,50,1,True,0.0008148257806897164,2.7721733971068897e-05
80,10,32,lstm,2,50,1,False,0.0005923942197114229,7.1583204590044795e-06
80,15,32,lstm,1,50,1,True,0.0007555949408560991,2.646503191939979e-05
80,15,32,lstm,1,50,1,False,0.0004606835730373859,7.949685498051351e-06
80,15,32,lstm,2,50,1,True,0.0008197244349867106,1.784308272598716e-05
80,15,32,lstm,2,50,1,False,0.0006624183431267739,8.588533482542806e-06
80,20,32,lstm,1,50,1,True,0.000766822500154376,2.8687391831342093e-05
80,20,32,lstm,1,50,1,False,0.0005074408464133739,9.074180011283479e-06
80,20,32,lstm,2,50,1,True,0.0008311868365854024,2.2855176937393736e-05
80,20,32,lstm,2,50,1,False,0.0007152923941612244,6.830005386666399e-06
80,40,32,lstm,1,50,1,True,0.0007944295275956392,2.5814746311026613e-05
80,40,32,lstm,1,50,1,False,0.0006305736396461726,9.617198202015989e-06
80,40,32,lstm,2,50,1,True,0.0008653433341532945,1.6864657556977675e-05
80,40,32,lstm,2,50,1,False,0.000930847330018878,8.442869894688097e-06
80,60,32,lstm,1,50,1,True,0.0008252613991498948,2.3338818782710163e-05
80,60,32,lstm,1,50,1,False,0.0007448629476130009,8.665273248861556e-06
80,60,32,lstm,2,50,1,True,0.0008929753396660089,1.383052775513901e-05
80,60,32,lstm,2,50,1,False,0.0011226995848119259,6.528343459318751e-06
100,1,32,lstm,1,50,1,True,0.0007268552761524916,2.3856977120885106e-05
100,1,32,lstm,1,50,1,False,0.0003395355679094791,7.1522077613117475e-06
100,1,32,lstm,2,50,1,True,0.0007896423991769552,2.7528433299888328e-05
100,1,32,lstm,2,50,1,False,0.0004815102182328701,1.1047415299142485e-05
100,5,32,lstm,1,50,1,True,0.000741231394931674,2.6134709854048505e-05
100,5,32,lstm,1,50,1,False,0.00037713678553700445,6.819970955244531e-06
